Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
Mango Haze,Sativa,"Ready-to-spark sativa infused pre-roll of Mango Haze, enhanced with concentrate for smoother, slower burning and a serious step up in strength. More potent than flower alone, with more intense effects — with notes of mango, tropical, and tree fruit, delivering a clear, creative buzz. Pace yourself.",,,,,,,
Mango Indica,,,,,,,,,
Mango Kush,,,,,,,,,
Mango Lemonade,Hybrid,"A chef-inspired sweet-tart lemonade cannabis drink made for sipping cold, with bright flavor, a clean finish, and a smooth infused lift. Best enjoyed cold, with plenty of time for the infused finish to arrive.",,,,,,,
mango mimosa,,,,,,,,,
Mango Mintality,Hybrid,"Portable hybrid vape cart of Mango Mintality, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Smooth, discreet, and flavorful — with notes of mango, menthol, and mint, with a balanced head-and-body experience.",,,,,,,
Mango Passion Fruit,Hybrid,"Soft bright, juicy mango gummies with a farmers-market fruit character, a glossy confectioner’s finish, and a cannabis infusion folded in as smoothly as a secret family recipe. It blends CBG to support daytime focus and clarity, CBC to round out the full-plant entourage effect, and CBD to keep things calm and balanced in a 1:1:1 ratio. Made for anyone who wants their edible to feel less like a dose and more like a little indulgence.",,,,,,,
Mango Punch,Hybrid,"An all-in-one hybrid disposable vape preloaded with Mango Punch oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Grab-and-go convenience, a bright, juicy mango flavor, delivering an even, best-of-both-worlds feel.",,,,,,,
Mango Strawberry,Sativa,"Portable sativa vape cart of Mango Strawberry, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Convenient and clean, a sweet, juicy strawberry flavor, delivering a bright, heady lift.",,,,,,,
Mango Sunrise,,,,,,,,,
Mani,Hybrid,"Solventless hybrid hash rosin crafted in two patient steps from Mani: an ice-water hash wash followed by a low-temp press into rich, fragrant rosin. Smooth, potent, and terp-heavy — a balanced, sweet-earthy profile, leading into an even, best-of-both-worlds feel.",,,,,,,
Maple Drip,Hybrid,"Top-shelf hybrid hash rosin, made by ice-water washing Maple Drip into bubble hash, then pressing that hash into pure, terpene-drenched oil — two crafts in one jar. Smooth, potent, and terp-heavy — a balanced, sweet-earthy profile, leading into a balanced head-and-body experience.",,,,,,,
Marcel Clementine,Hybrid,"A grab-and-go hybrid disposable of Marcel Clementine, the simplest way to vape: flavorful, portable, and zero setup required. Grab-and-go convenience, a balanced, sweet-earthy profile, delivering a balanced head-and-body experience.",,,,,,,
Marionberry,,,,,,,,,
Marionberry Indica 2:1 THC/CBN,,,,,,,,,
Mars OG,Indica,"Hand-pressed indica rosin from Mars OG — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Golden, terpy, and gentle on the lungs — with notes of pungent, earthy, and pine, with settle-in, melt-into-the-couch ease.",,,,,,,
Marshmallow Fluff,Hybrid,"A hybrid pre-roll of Marshmallow Fluff supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Marshmallow Puff,Hybrid,"This hybrid cartridge loads Marshmallow Puff into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Convenient and clean, a balanced, sweet-earthy profile, delivering a smooth, well-rounded vibe.",,,,,,,
Master Kush,Indica,"A indica pre-roll of Master Kush supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — with notes of earthy, pungent, and flowery, with deep, easygoing relaxation. A little goes a long way.",,,,,,,
Maui,Sativa,"This sativa cartridge loads Maui into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Smooth, discreet, and flavorful — with notes of tropical, sweet, and citrus, with an upbeat, talkative energy.",,,,,,,
Maui Mango,Hybrid,"This hybrid BHO concentrate distills Maui Mango down to its potent essence through precision closed-loop extraction and a clean solvent purge. Potent, clean, and lab-tested — a bright, juicy mango flavor, with a versatile, anytime balance.",,,,,,,
Maui Pineapple,Hybrid,"A convenient hybrid cartridge carrying Maui Pineapple's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Flavor on the go, a bright, zesty citrus flavor, leading into a balanced head-and-body experience.",,,,,,,
Maui Sunrise,Hybrid,"Maui Sunrise is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Maui Waui,,,,,,,,,
Maui Wowie,Sativa,"Solventless sativa hash rosin crafted in two patient steps from Maui Wowie: an ice-water hash wash followed by a low-temp press into rich, fragrant rosin. The cleanest expression of the strain — with notes of tropical, pineapple, and citrus, with an active, daytime spark.",,,,,,,
McFLY,Hybrid,"McFLY is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Mclaren,Hybrid,"Mclaren is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Medellin,Hybrid,"Hand-pressed hybrid rosin from Medellin — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Flavor-forward and full-spectrum, with notes of tea, ammonia, and pungent, leading into an even, best-of-both-worlds feel.",,,,,,,
melon ball,Hybrid,"This hybrid disposable carries Melon Ball in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Simple, smooth, portable, a light, refreshing melon flavor, leading into an even, best-of-both-worlds feel.",,,,,,,
Melon Bar,Hybrid,"A grab-and-go hybrid disposable of Melon Bar, the simplest way to vape: flavorful, portable, and zero setup required. Zero setup, all flavor — a light, refreshing melon flavor, with a versatile, anytime balance.",,,,,,,
Melon Fizz,Hybrid,"Effortless hybrid disposable vape of Melon Fizz — fully charged out of the box, dialed in for smooth flavor and total convenience. Simple, smooth, portable, with notes of tropical, mango, and diesel, leading into a versatile, anytime balance.",,,,,,,
melon guava,Hybrid,"A hybrid pre-roll of Melon Guava supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — a sweet tropical guava flavor, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Melon Gum,Hybrid,"This infused hybrid pre-roll wraps Melon Gum flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — with notes of lavender, flowery, and tropical, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Melon Sorbet,Hybrid,"This hybrid disposable carries Melon Sorbet in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, a light, refreshing melon flavor, delivering an even, best-of-both-worlds feel.",,,,,,,
Melonoz,Hybrid,"Melonoz is a hybrid flower with a light, refreshing melon flavor and balanced, well-rounded effects.",,,,,,,
Melted Melon,Hybrid,"Portable hybrid vape cart of Melted Melon, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Smooth, discreet, and flavorful — a light, refreshing melon flavor, with an even, best-of-both-worlds feel.",,,,,,,
Melted Strawberries,Hybrid,"Melted Strawberries is a hybrid flower with notes of strawberry, chemical, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Memory Loss,Sativa,"Ready-to-spark sativa infused pre-roll of Memory Loss, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Built for a stronger, longer session and more intense effects — with notes of ammonia, pepper, and woody, with an active, daytime spark. A little goes a long way.",,,,,,,
Menage x Golden Lemons,Hybrid,"A hybrid pre-roll of Menage x Golden Lemons supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — with notes of cheese, diesel, and mint, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Mendo Purp,Indica,"This infused indica pre-roll wraps Mendo Purp flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — earthy, sweet undertones, delivering settle-in, melt-into-the-couch ease. Pace yourself.",,,,,,,
Menthol OG,Hybrid,"This hybrid disposable carries Menthol OG in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Zero setup, all flavor — a cool, refreshing menthol flavor, with an even, best-of-both-worlds feel.",,,,,,,
Metaverse,Hybrid,"Metaverse is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Method,Hybrid,"Method is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Mexican Flan,Hybrid,"Mexican Flan is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Midnight Grape,Hybrid,"An artisan sweet, candy-like grape edible made to feel special — rich flavor, soft sweetness, and a cannabis finish that stays smooth and approachable. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest in a 1:1:1 ratio. Perfect for winding down at the end of the day.",,,,,,,
Midnight Meat,Hybrid,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
Mikado,Hybrid,"Mikado is a hybrid flower with notes of pine and woody, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
MILF,Hybrid,"This infused hybrid pre-roll wraps MILF flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — with notes of sage and sweet, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Milk Caramel,Hybrid,"A rich chocolate edible with a velvet-smooth snap, imagined from ethically sourced cacao, slow-roasted notes, and a silky cannabis infusion tucked into every square. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest. A flavorful hybrid option for customers who want their cannabis wrapped in something genuinely craveable.",,,,,,,
Milk Chocolate,Hybrid,"A premium chocolate treat with old-world dessert energy: silky texture, warm cocoa aroma, and a refined cannabis finish that makes each bite feel indulgent. It blends CBN to help you relax and ease into rest and THC for a classic euphoric lift in a 2:1 ratio. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Milk Chocolate 1:1,,,,,,,,,
Milk Chocolate 1:1:1:1 CBG CBC CBD THC,,,,,,,,,
Milk Chocolate 200mg CBG + 100mg THC,Hybrid,"A premium chocolate treat with old-world dessert energy: silky texture, warm cocoa aroma, and a refined cannabis finish that makes each bite feel indulgent. It blends THC for a classic euphoric lift and CBG to support daytime focus and clarity. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Milk Chocolate Hemp Crunch,,,,,,,,,
Milk Steak,Hybrid,"Milk Steak is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Milky Way CBG,Hybrid,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
